julkaisu_pvm;tuotenimi;malli;tekniset_arvot;tuote_paaryhma_nimi;nimike;viivakoodi;vaaranlaji;tapaus_tulos;tapausnumero;tapauksen_kuvat;muut_tiedot;vastuutaho;asiakirjat;puutteet;paatos
09.02.2017;MYSINGSÖ-rantatuoli;Eri värejä;;Tavara;Tuoli;;Puristuminen,Muut ulkoiset vammat;Palautusmenettely;RES-20170123-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=33395;Poista tuote käytöstä. Toiminnanharjoittaja on oma-aloitteisesti suorittanut toimenpiteet, joiden avulla markkinoilla (myynnissä) ja loppukäyttäjillä jo olevat tuotteet saadaan kerättyä takaisin. Toiminnanharjoittaja antaa lisätietoja toimintaohjeista, tuotteen aiheutumasta vaarasta sekä jälleenmyyntipaikoista.;Ikea Oy ,Maahantuoja,Espoontie 21,02740,ESPOO;http://marek.tukes.fi/Tuote.aspx?asiakirjaid=684,http://marek.tukes.fi/Tuote.aspx?asiakirjaid=685;Kangasosan irrotuksen jälkeen tuoli on mahdollista koota virheellisesti. Tämä voi johtaa tuolin kaatumiseen tai sormien loukkaantumiseen.;Toiminnanharjoittaja on oma-aloitteisesti ryhtynyt tätä tuotetta koskevaan palautusmenettelyyn. Yritys pyytää kuluttajia palauttamaan tuotteet ja kerää tuotteet pois kuluttajilta sekä myynnistä ja muusta jakelusta.
13.02.2017;tuntematon;PTV12080;80W, IP67, 170-240V, 50-60Hz, Class I;Valaisimet ja valaisintarvikkeet;Verkkoliitäntäkoje, LED valoille;;Sähköisku;Myyntikielto;JAT-20160818-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=32197,http://marek.tukes.fi/Tuote.aspx?kuvaid=32195,http://marek.tukes.fi/Tuote.aspx?kuvaid=32196;Myyntikieltopäätöksellä maahantuoja on määrätty lopettamaan tuotteen myynnin ja muun luovuttamisen eli uudet toimitukset jälleenmyyjille. Koska tuotteesta ei aiheudu välitöntä vaaraa hengelle, terveydelle tai omaisuudelle, maahantuojaa ei ole velvoitettu keräämään tätä tuotetta pois jälleenmyyjiltä tai loppukäyttäjiltä. Kuluttaja voi kuitenkin kuluttajasuojalain mukaan palauttaa tuotteen virheellisenä (turvallisuusvaatimusten vastaisena) ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Valoilmiö Oy ,Maahantuoja,Karmäentie 8,24280,SALO;;Laitteen liitäntäjohtona on muovieristeinen kaapeli, vaatimuksena tulisi olla vähintään kumikaapeli.Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60598 vaatimuksia.;Tukesin päätöksellä tuotteelle on asetettu myyntikielto.
15.02.2017;Lowrance Elite-3x / Manada (latauslaite);A602-140120 (latauslaite).;Input: 100 – 240 VAC, 0,5 A, 47 – 63 Hz  Suojausluokka II/Class II, Output: 14 VDC, 1,2 A;Lelut, vapaa-aika, urheilu;Kaikuluotain;9420024133187;Sähköisku;Palautusmenettely;YNS-20161220-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=32949,http://marek.tukes.fi/Tuote.aspx?kuvaid=32947,http://marek.tukes.fi/Tuote.aspx?kuvaid=32948,http://marek.tukes.fi/Tuote.aspx?kuvaid=33572,http://marek.tukes.fi/Tuote.aspx?kuvaid=33574;Poista tuote välittömästi käytöstä. Palautusmenettelyn mukaisella päätöksellä maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä ja myös loppukäyttäjiltä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;OPM International Oy ,Maahantuoja,,,;http://marek.tukes.fi/Tuote.aspx?asiakirjaid=2700,http://marek.tukes.fi/Tuote.aspx?asiakirjaid=2701;Latauslaitteen pistotulppaosa ei täytä kosketussuojausvaatimuksia. Latauslaite ei täytä vahvistetulle eristykselle asetettuja pintavälivaatimuksia.Tuote ei täytä sähköturvallisuuslain (410/1996) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60950 ja pistokytkimiä koskevan standardin SFS 5610 vaatimuksia.;Tukesin tekemä palautusmenettelyä koskeva päätös. Päätös koskee kaikuluotainta, jonka mukana on toimitettu kuvien mukainen latauslaite ja siirtymispistokytkin (adapteri). Turvallisuuspuutteet on todettu latauslaitteessa ja siirtymispistokytkimessä.
28.02.2017;Deltaco;HDMI-7012;Input: 100-240 VAC, max. 0.3 A, class II, Output: 5 V d.c., 1 A;Ei määritelty;Näytönjakaja;7340004683438;Sähköisku,Palo;Markkinoilta poisto;YNS-20161017-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=32970,http://marek.tukes.fi/Tuote.aspx?kuvaid=32966,http://marek.tukes.fi/Tuote.aspx?kuvaid=32967;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;FinDeltaco Oy ,Maahantuoja,Pinninkatu 55, 4krs,33100,TAMMERFORS;;Tuote ei täytä sähköturvallisuuslain (410/1996) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60950-1 vaatimuksia. Tuotteen eristys on puutteellinen ja sen virtalähteen kotelomateriaalin palonkesto ei ole riittävä.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
28.02.2017;luc€co Moon LED 22W;LML022NWDETWHI /tuote 47622;DS-22W, 230V, 50Hz, Class I, IP65;Valaisimet ja valaisintarvikkeet;Katto- tai seinävalaisin, LED;ei löytynyt;Sähköisku;Markkinoilta poisto;YNS-20161122-04;http://marek.tukes.fi/Tuote.aspx?kuvaid=33021,http://marek.tukes.fi/Tuote.aspx?kuvaid=33012,http://marek.tukes.fi/Tuote.aspx?kuvaid=33013;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Etman Oy ,Maahantuoja,Myllypuronkatu 30,33330,TAMPERE;;Tuote ei täytä sähköturvallisuuslain (410/1996) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60598-2-1 vaatimuksia. Tuotteeseen pääsee vettä.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
01.03.2017;DeLOCK;65404;Input: 240 V ~ / 120 V ~, class II,  IP20;Asennustarvikkeet, kaapelit, komponentit;Siirtymispistokytkin, USB latauslaite;4043619654048;Sähköisku,Palo;Palautusmenettely;YNS-20161117-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=32958,http://marek.tukes.fi/Tuote.aspx?kuvaid=32950,http://marek.tukes.fi/Tuote.aspx?kuvaid=32952;Poista tuote välittömästi käytöstä. Palautusmenettelyn mukaisella päätöksellä maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä ja myös loppukäyttäjiltä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;FinDeltaco Oy ,Maahantuoja,Pinninkatu 55, 4krs,33100,TAMMERFORS;http://marek.tukes.fi/Tuote.aspx?asiakirjaid=2704,http://marek.tukes.fi/Tuote.aspx?asiakirjaid=2705;Tuote ei täytä sähköturvallisuuslain (410/1996) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60950-1 vaatimuksia. Tuotteen kotelomateriaali syttyy liian helposti, sen eristys on puutteellinen ja se mahdollistaa pistotulpan vaarallisen väärinkytkennän.;Tukesin tekemä palautusmenettelyä koskeva päätös.
23.02.2017;tuntematon;BL-1215 / DAS0482 (liitäntälaite: A2688-8);DS-8W, 100-240V / 12V, 50/60Hz, Lk. II/III, IP20;Valaisimet ja valaisintarvikkeet;Pöytävalaisin LED;6419773786327;Sähköisku;Myyntikielto;JAT-20160920-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=32586,http://marek.tukes.fi/Tuote.aspx?kuvaid=32581,http://marek.tukes.fi/Tuote.aspx?kuvaid=32583;Myyntikieltopäätöksellä maahantuoja on määrätty lopettamaan tuotteen myynnin ja muun luovuttamisen eli uudet toimitukset jälleenmyyjille. Koska tuotteesta ei aiheudu välitöntä vaaraa hengelle, terveydelle tai omaisuudelle, maahantuojaa ei ole velvoitettu keräämään tätä tuotetta pois jälleenmyyjiltä tai loppukäyttäjiltä. Kuluttaja voi kuitenkin kuluttajasuojalain mukaan palauttaa tuotteen virheellisenä (turvallisuusvaatimusten vastaisena) ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Veljekset Keskinen Oy ,Maahantuoja,Onnentie 7,63610,TUURI;;Valaisimen liitäntälaitteen muuntajan eristykset eivät ole riittävät.  Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevien eurooppalaisten harmonisoitujen standardien EN 60598 ja 61347 vaatimuksia.;Tukesin päätöksellä tuotteelle on asetettu myyntikielto.
03.03.2017;A-LINK;PC2U2AS;Input: 100-240 VAC, 50 Hz, class II, Output: 5 V, 2.1 A;Verkkoliitäntäkojeet ja lataus;Latauslaite, USB;;Palo;Markkinoilta poisto;JAT-20160927-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=31926,http://marek.tukes.fi/Tuote.aspx?kuvaid=31924,http://marek.tukes.fi/Tuote.aspx?kuvaid=31925;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;A-Line Trade Oy ,Maahantuoja,Tammimäentie 21,02940,ESPOO;;Laitteen kotelomateriaali ei täytä standardin vaatimaa tulenkestoisuustestiä. Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60950 vaatimuksia.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
03.03.2017;Nowodvorski Spey;5291;60W - E27, 230V, 50Hz, class I, IP23;Valaisimet ja valaisintarvikkeet;Riippuvalaisin;5903139529198;Sähköisku;Myyntikielto;YNS-20161012-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=32533,http://marek.tukes.fi/Tuote.aspx?kuvaid=32530,http://marek.tukes.fi/Tuote.aspx?kuvaid=32531;Myyntikieltopäätöksellä maahantuoja on määrätty lopettamaan tuotteen myynnin ja muun luovuttamisen eli uudet toimitukset jälleenmyyjille. Koska tuotteesta ei aiheudu välitöntä vaaraa hengelle, terveydelle tai omaisuudelle, maahantuojaa ei ole velvoitettu keräämään tätä tuotetta pois jälleenmyyjiltä tai loppukäyttäjiltä. Kuluttaja voi kuitenkin kuluttajasuojalain mukaan palauttaa tuotteen virheellisenä (turvallisuusvaatimusten vastaisena) ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Device Ky Aputoiminimi E.lite,Maahantuoja,Kanervistontie 1,45200,KOUVOLA;;Valaisin ei sovellu ulkokäyttöön. Puutteet valaisimen verkkoliitännässä. Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60598 vaatimuksia.;Tukesin päätöksellä tuotteelle on asetettu myyntikielto.
03.03.2017;Multiple Keyboard TUOTE 254830 Tuote-erä 08/15;HS-5418B / Pakkauksessa HS-54189 / HF-600-A (latauslaite);Verkkoliitäntäkoje: Input: AC110-240V, 50/60Hz, class II, IPX0, Output : DC 9V, 500mA;Viihde-elektroniikka;Kosketinsoitin;6410412548306;Sähköisku;Palautusmenettely;YNS-20161017-04;http://marek.tukes.fi/Tuote.aspx?kuvaid=33231,http://marek.tukes.fi/Tuote.aspx?kuvaid=33229,http://marek.tukes.fi/Tuote.aspx?kuvaid=33234;Poista tuote välittömästi käytöstä. Palautusmenettelyn mukaisella päätöksellä maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä ja myös loppukäyttäjiltä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Tammer-Tukku Oy ,Maahantuoja,Viinikankatu 36,33800,TAMPERE;;Vakavat eristyspuutteet verkkoliitäntäkojeessa. Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 61558 vaatimuksia.;Tukesin tekemä palautusmenettelyä koskeva päätös.
27.02.2017;Axxel Ossi;8057;230 V, 50 Hz, 16 A, max. 3680 W, IP20;Asennustarvikkeet, kaapelit, komponentit;Lämpötilavahti;6438152080573;Sähköisku;Myyntikielto;YNS-20160922-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=32216,http://marek.tukes.fi/Tuote.aspx?kuvaid=32214,http://marek.tukes.fi/Tuote.aspx?kuvaid=32215;Myyntikieltopäätöksellä maahantuoja on määrätty lopettamaan tuotteen myynnin ja muun luovuttamisen eli uudet toimitukset jälleenmyyjille. Koska tuotteesta ei aiheudu välitöntä vaaraa hengelle, terveydelle tai omaisuudelle, maahantuojaa ei ole velvoitettu keräämään tätä tuotetta pois jälleenmyyjiltä tai loppukäyttäjiltä. Kuluttaja voi kuitenkin kuluttajasuojalain mukaan palauttaa tuotteen virheellisenä (turvallisuusvaatimusten vastaisena) ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voi tehdä, on myyjällä oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Toolnet Elektro Oy ,Maahantuoja,Sorvaajankatu 11a B,00880,HELSINKI;;Lämpötilavahdin pistorasian rakenne ei täytä vaatimuksia. Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan kansainvälisen harmonisoidun standardin IEC 60884 vaatimuksia.;Tukesin päätöksellä tuotteelle on asetettu myyntikielto.
22.09.2016;Gripo;7061;DS-11W, 220-240V, 50Hz, class I, IP65;Valaisimet ja valaisintarvikkeet;Valonheitin, LED;5709119170615;Sähkömagneettinen yhteensopimattomuus,Sähköisku;Markkinoilta poisto;JAT-20160315-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=29690,http://marek.tukes.fi/Tuote.aspx?kuvaid=29685,http://marek.tukes.fi/Tuote.aspx?kuvaid=29686;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Etra Oy ,Maahantuoja,Lampputie 2,00740,HELSINKI;;Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoitujen standardien EN 55015 & EN 60598-2-4 vaatimuksia.Laite saattaa aiheuttaa häiriöitä muille sähkö- ja elektroniikkalaitteille. Lisäksi valaisimen maadoitus ei ole luotettava.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
09.03.2017;Manta;MA409V1;220 VAC, 50 Hz, class II;Kotitalouslaitteet;Karaokelaite;5902510601676;Sähköisku,Palo;Markkinoilta poisto;JAT-20161108-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=33132,http://marek.tukes.fi/Tuote.aspx?kuvaid=33128,http://marek.tukes.fi/Tuote.aspx?kuvaid=33129;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Udda Finland Oy Ltd ,Maahantuoja,Vasarakatu 4,15700,LAHTI;;Laitteen rakenteessa on useita puutteita. Laitteen kotelomateriaali ei täytä palonsuojavaatimuksia.  Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60950 vaatimuksia.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
03.03.2017;Cantarana ZBH-7010, JustKids DKS-02, 2 raitaa ja New York;Collegesetti sis. hupparin ja housut;Koot välillä 2-14, 4-12 tai 4-14, eri värejä.;Tavara;Lastenvaate;;Kuristuminen;Palautusmenettely;RES-20161205-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=33825;Tuotteen ostaneet kuluttajat voivat poistaa nyörit itse tai kuluttajansuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimustenmukaiseksi. Kuluttajansuojalaissa muutoksineen on tarkemmin kerrottu menettelyistä.;J.Kärkkäinen Oy ,Maahantuoja,Ollilanojankatu 2,84100,YLIVIESKA;http://marek.tukes.fi/Tuote.aspx?asiakirjaid=1684;Tuotteessa on kielletyt kiristysnyörit hupun ja pääntien alueella.;Toiminnanharjoittaja on vapaaehtoisesti ryhtynyt tuotetta koskevan palautusmenettelyn järjestämiseen.
07.03.2017;Mikasa;Polvisuojain lentopallon pelaajalle, mallinro 832-JR;;Tavara;Urheilusuojain;;Muut ulkoiset vammat;Markkinoilta poisto;KAS-20170127-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=33867,http://marek.tukes.fi/Tuote.aspx?kuvaid=33868,http://marek.tukes.fi/Tuote.aspx?kuvaid=33869,http://marek.tukes.fi/Tuote.aspx?kuvaid=33870;Tukes on päätöksellään velvoittanut toiminnanharjoittajaa lopettamaan välittömästi tämän tuotteen markkinoinnin, myynnin ja muun luovuttamisen sekä ryhtymään toimenpiteisiin, joilla myymättömät tuotteet saadaan kerätyksi pois markkinoilta.;Oy Sultrade Ltd ,Maahantuoja,Niittyrinne 2B,02270,ESPOO;;Polvisuojista puuttui CE-merkintä. Tuotteen mukana ei ole suomen- ja ruotsinkielisiä käyttöohjeita.;Tukes on antanut toiminnanharjoittajalle määräyksen poistaa tämä tuote markkinoilta.
14.03.2017;Finnmari (Valokuusi 40x10x50cm);LAMPM2;15.6W, 230V, 50Hz, class II, IP20;Valaisimet ja valaisintarvikkeet;Lamppusarja;6416906720029;Sähköisku;Markkinoilta poisto;YNS-20161128-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=33203,http://marek.tukes.fi/Tuote.aspx?kuvaid=33201,http://marek.tukes.fi/Tuote.aspx?kuvaid=33202;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Finnmari Oy ,Maahantuoja,Kynttilätie 2,15700,LAHTI;;Valonlähteen vedonpoistin ei kestä vetoa. Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60598 vaatimuksia.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
14.03.2017;Finnmari (Valotorni 18x18x60cm);LAMPM01;15,45W, 230V, 50Hz, class II , IP20;Valaisimet ja valaisintarvikkeet;Lamppusarja;6416906720012;Sähköisku;Markkinoilta poisto;YNS-20161128-02;http://marek.tukes.fi/Tuote.aspx?kuvaid=33197,http://marek.tukes.fi/Tuote.aspx?kuvaid=33194,http://marek.tukes.fi/Tuote.aspx?kuvaid=33195;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Finnmari Oy ,Maahantuoja,Kynttilätie 2,15700,LAHTI;;Valonlähteen vedonpoistin ei kestä vetoa. Tuote ei täytä sähköturvallisuuslain (1135/2016) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60598 vaatimuksia.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta.
08.03.2017;BabyTrold Stol 20-46;;;Tavara;Syöttötuoli;;Muut ulkoiset vammat;Palautusmenettely;RES-20161222-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=33778;Tuotteen ostaneita kuluttajia kehotetaan poistamaan syöttötuolin jalkojen alla olevat kumitapit/jalat tai ottamaan yhteyttä tuotteen myyjään kyseisen toimenpiteen tekemistä varten. Tuotteen ostaneita kuluttajia on tiedotettu asiasta muun muassa asiakasrekisterin kautta.;Kiddex Oy ,Agentti,Hankasuontie 8,00390,HELSINKI;;Syöttötuolin jalkojen alla olevat kumitapit/jalat saattavat tehdä tuolista epävakaan. Tämä saattaa johtaa tuolin kaatumiseen.;Toiminnanharjoittaja on oma-aloitteisesti ryhtynyt tuotetta koskevan palautusmenettelyn järjestämiseen.
10.03.2017;nor-tec;74630 (LXA-ZD2924-50W);2xDS-50W, 230V, 50Hz, class I, IP65, ta 60C;Valaisimet ja valaisintarvikkeet;Valonheitin, LED;5709386746308;Palo,Sähköisku;Palautusmenettely;YNS-20161202-03;http://marek.tukes.fi/Tuote.aspx?kuvaid=33244,http://marek.tukes.fi/Tuote.aspx?kuvaid=33242,http://marek.tukes.fi/Tuote.aspx?kuvaid=33243,http://marek.tukes.fi/Tuote.aspx?kuvaid=33575;Poista tuote välittömästi käytöstä. Palautusmenettelyn mukaisella päätöksellä maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä ja myös loppukäyttäjiltä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;HP SCHOU Oy Ab ,Maahantuoja,Jorvaksen myllytie 5 ,02420,JORVAS;http://marek.tukes.fi/Tuote.aspx?asiakirjaid=2711,http://marek.tukes.fi/Tuote.aspx?asiakirjaid=2712;Valonheittimen liitäntäjohto (HANGZHOU YUNGQIANG CABLE CO.LTD. H05RN-F 3G1,0mm²) ei kestä standardien EN 50525-2-21 ja EN 50363-2-1 mukaista taivutuskoetta alhaisessa lämpötilassa. Valonheitin ei täytä kotelointiluokan IPX5 (suihkuvesikoe) vaatimuksia. Valonheitin ei täytä sähköturvallisuuslain (410/1996) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60598-1 vaatimuksia.;Tukesin tekemä palautusmenettelyä koskeva päätös. Päätös koskee valonheitintä, joka on varustettu liitäntäjohdolla HANGZHOU YUNGQIANG CABLE CO.LTD. H05RN-F 3G1,0mm².
10.03.2017;create home;D5034 (HAN235);E27, 230V, 50Hz, 40W, IP44;Valaisimet ja valaisintarvikkeet;Seinävalaisin;0020010448920;Sähköisku;Markkinoilta poisto;JAT-20161117-01;http://marek.tukes.fi/Tuote.aspx?kuvaid=33365,http://marek.tukes.fi/Tuote.aspx?kuvaid=33361,http://marek.tukes.fi/Tuote.aspx?kuvaid=33362;Määräyksellä poistaa tuote markkinoilta maahantuoja on velvoitettu lopettamaan tuotteen myynnin ja muun luovuttamisen sekä keräämään sen pois myynnistä. Kuluttajasuojalain mukaan tuotteen saa virheellisenä (turvallisuusvaatimusten vastaisena) palauttaa ostopaikkaan, jotta myyjä voi korjata sen vaatimusten mukaiseksi. Ellei korjausta voida tehdä, myyjällä on oikeus antaa korvaava tuote tilalle tai viime kädessä kaupan saa purkaa. Menettelystä on kerrottu tarkemmin kuluttajansuojalaissa.;Carlson Oy ,Maahantuoja,Kauppakatu 36,70110,KUOPIO;;Tuote ei täytä kotelointiluokan IPX4 (roiskevesikoe) vaatimuksia.Tuote ei täytä sähköturvallisuuslain (410/1996) eikä tuotetta koskevan eurooppalaisen harmonisoidun standardin EN 60598-1 vaatimuksia.;Tukesin päätöksellä tuote on määrätty poistettavaksi markkinoilta. Päätös koskee tuotetta, jonka kotelointiluokaksi on merkitty IP44.
